"","basin","report_year","report_month","swsi","nep","swsi_previous_month","change_from_previous_month","swsi_previous_year","change_from_previous_year"
"753","Rio Grande",2019,9,2.79,83.54,3.23,-0.44,-1.71,4.5
"754","San Juan-Dolores",2019,9,3.41,90.92,3.95,-0.53,-2.25,5.67
"755","South Platte",2019,9,3.17,88.11,3.73,-0.55,0.56,2.6
"756","Yampa-White",2019,9,3.08,87.02,3.65,-0.56,-2.64,5.72
"757","Arkansas",2019,10,1.98,73.85,2.05,-0.06,1.95,0.03
"758","Colorado",2019,10,3.21,88.59,3.22,-0.01,-3.13,6.35
"759","Gunnison",2019,10,2.93,85.24,3.07,-0.14,-3.82,6.76
"760","Rio Grande",2019,10,2.7,82.42,2.79,-0.09,1.54,1.15
"761","San Juan-Dolores",2019,10,2.53,80.36,3.41,-0.88,-0.9,3.43
"762","South Platte",2019,10,3.21,88.55,3.17,0.03,-0.1,3.32
"763","Yampa-White",2019,10,4.04,98.5,3.08,0.95,0.82,3.21
"764","Arkansas",2019,11,2,74.11,1.98,0.02,2,0
"765","Colorado",2019,11,0.89,60.68,3.21,-2.32,-2.85,3.74
"766","Gunnison",2019,11,2.93,85.21,2.93,0,-3.89,6.82
"767","Rio Grande",2019,11,2.31,77.74,2.7,-0.39,2.02,0.29
"768","San Juan-Dolores",2019,11,2.39,78.76,2.53,-0.13,-0.86,3.26
"769","South Platte",2019,11,3.09,87.15,3.21,-0.11,-0.35,3.45
"770","Yampa-White",2019,11,4.04,98.5,4.04,0,1.42,2.61
"771","Arkansas",2019,12,2.02,74.35,2.01,0.01,1.97,0.05
"772","Colorado",2019,12,1.5,68.05,0.88,0.61,-2.78,4.28
"773","Gunnison",2019,12,2.53,80.44,2.93,-0.39,-3.89,6.43
"774","Rio Grande",2019,12,2.23,76.81,2.31,-0.07,1.85,0.38
"775","San Juan-Dolores",2019,12,2.33,77.99,2.39,-0.06,-0.87,3.2
"776","South Platte",2019,12,3.12,87.47,3.09,0.02,-0.84,3.97
"777","Yampa-White",2019,12,4.04,98.5,4.04,0,0.84,3.19
"778","Arkansas",2020,1,1.72,70.73,2.02,-0.3,2.02,-0.3
"779","Colorado",2020,1,-0.52,43.68,1.46,-1.98,2.53,-3.05
"780","Gunnison",2020,1,-0.35,45.73,2.53,-2.89,2.13,-2.48
"781","Rio Grande",2020,1,-0.15,48.15,2.23,-2.38,3.2,-3.35
"782","San Juan-Dolores",2020,1,-0.05,49.35,2.33,-2.38,2.74,-2.79
"783","South Platte",2020,1,1.34,66.1,3.12,-1.78,0.97,0.36
"784","Yampa-White",2020,1,-0.56,43.23,4.04,-4.6,2.51,-3.07
"785","Arkansas",2020,2,1.53,68.44,1.72,-0.19,1.38,0.15
"786","Colorado",2020,2,-0.61,42.61,-0.52,-0.08,-0.17,-0.43
"787","Gunnison",2020,2,-0.51,43.87,-0.35,-0.15,-1.79,1.28
"788","Rio Grande",2020,2,-1.09,36.82,-0.15,-0.94,-0.79,-0.29
"789","San Juan-Dolores",2020,2,-0.72,41.35,-0.05,-0.66,-1.44,0.72
"790","South Platte",2020,2,1.25,65.08,1.34,-0.08,0.31,0.93
"791","Yampa-White",2020,2,-0.53,43.61,-0.56,0.03,-0.54,0.01
"792","Arkansas",2020,3,1.35,66.29,1.53,-0.17,1.43,-0.07
"793","Colorado",2020,3,0.36,54.37,-0.61,0.97,0.45,-0.09
"794","Gunnison",2020,3,-1.63,30.39,-0.51,-1.12,-0.11,-1.51
"795","Rio Grande",2020,3,-1.81,28.2,-1.09,-0.71,0.59,-2.4
"796","San Juan-Dolores",2020,3,-1.58,30.93,-0.72,-0.86,0.6,-2.19
"797","South Platte",2020,3,1.61,69.41,1.29,0.32,0.36,1.25
"798","Yampa-White",2020,3,0.01,50.2,-0.53,0.54,-0.32,0.34
"799","Arkansas",2020,4,1.3,65.63,1.35,-0.05,1.73,-0.43
"800","Colorado",2020,4,-0.25,46.95,0.32,-0.57,2.56,-2.82
"801","Gunnison",2020,4,-1.59,30.82,-1.63,0.03,2.61,-4.21
"802","Rio Grande",2020,4,-1.8,28.36,-1.81,0.01,2.79,-4.59
"803","San Juan-Dolores",2020,4,-1.47,32.27,-1.58,0.11,1.87,-3.35
"804","South Platte",2020,4,1.52,68.25,1.6,-0.08,1.17,0.34
"805","Yampa-White",2020,4,-0.06,49.27,0.01,-0.07,0.43,-0.49
"806","Arkansas",2020,5,0.06,50.74,1.3,-1.24,1.7,-1.64
"807","Colorado",2020,5,-0.62,42.45,-0.25,-0.37,2.27,-2.89
"808","Gunnison",2020,5,-1.74,29.05,-1.59,-0.14,2.7,-4.44
"809","Rio Grande",2020,5,-2.46,20.37,-1.8,-0.66,2.26,-4.73
"810","San Juan-Dolores",2020,5,-1.94,26.61,-1.47,-0.47,1.99,-3.94
"811","South Platte",2020,5,1.34,66.12,1.52,-0.17,0.17,1.17
"812","Yampa-White",2020,5,-0.42,44.9,-0.06,-0.36,0.13,-0.55
"813","Arkansas",2020,6,0.04,50.48,0.09,-0.05,2.93,-2.89
"814","Colorado",2020,6,-1.71,29.41,-0.62,-1.08,3.34,-5.06
"815","Gunnison",2020,6,-2.97,14.32,-1.74,-1.22,3.46,-6.43
"816","Rio Grande",2020,6,-3.43,8.79,-1.83,-1.59,3.93,-7.36
"817","San Juan-Dolores",2020,6,-2.46,20.43,-2.2,-0.26,2.52,-4.98
"818","South Platte",2020,6,0.62,57.52,1.41,-0.78,1.88,-1.25
"819","Yampa-White",2020,6,-1.32,34.07,0.08,-1.41,2.4,-3.73
"820","Arkansas",2020,7,-0.02,49.74,0.04,-0.06,1.64,-1.66
"821","Colorado",2020,7,-1.35,33.69,-1.71,0.35,3.14,-4.5
"822","Gunnison",2020,7,-3.42,8.91,-2.97,-0.45,3.33,-6.75
"823","Rio Grande",2020,7,-2.47,20.27,-3.43,0.95,3.86,-6.34
"824","San Juan-Dolores",2020,7,-2.3,22.34,-2.46,0.15,4.04,-6.34
"825","South Platte",2020,7,0.02,50.35,0.62,-0.59,1.8,-1.77
"826","Yampa-White",2020,7,-1.32,34.14,-1.32,0,3.16,-4.48
"827","Arkansas",2020,8,0.04,50.5,-0.02,0.06,2.53,-2.49
"828","Colorado",2020,8,-2.32,22.06,-1.35,-0.96,3.62,-5.95
"829","Gunnison",2020,8,-3.02,13.65,-3.42,0.39,3.78,-6.81
"830","Rio Grande",2020,8,-2.31,22.24,-2.47,0.16,3.23,-5.54
"831","San Juan-Dolores",2020,8,-1.95,26.53,-2.3,0.35,3.94,-5.9
"832","South Platte",2020,8,0.11,51.38,0.02,0.08,3.73,-3.61
"833","Yampa-White",2020,8,-1.91,26.96,-1.31,-0.59,3.66,-5.58
"834","Arkansas",2020,9,-0.4,45.11,0.04,-0.44,2.05,-2.46
"835","Colorado",2020,9,-2.74,17.07,-2.32,-0.41,3.22,-5.97
"836","Gunnison",2020,9,-3.2,11.58,-3.02,-0.17,3.07,-6.27
"837","Rio Grande",2020,9,-2.01,25.79,-2.31,0.29,2.79,-4.81
"838","San Juan-Dolores",2020,9,-1.31,34.17,-1.95,0.63,3.4,-4.72
"839","South Platte",2020,9,-0.21,47.4,0.11,-0.33,3.17,-3.39
"840","Yampa-White",2020,9,-2.36,21.67,-1.89,-0.46,3.09,-5.45
"841","Arkansas",2020,10,0.86,60.33,-0.4,1.26,1.99,-1.13
"842","Colorado",2020,10,-0.61,42.67,-2.74,2.13,3.21,-3.82
"843","Gunnison",2020,10,-3.28,10.57,-3.2,-0.08,2.93,-6.22
"844","Rio Grande",2020,10,0.8,59.67,-2.01,2.82,2.7,-1.89
"845","San Juan-Dolores",2020,10,-0.74,41.07,-1.31,0.57,2.53,-3.27
"846","South Platte",2020,10,0.01,50.15,-0.21,0.22,3.21,-3.2
"847","Yampa-White",2020,10,1.9,72.84,-2.36,4.26,4.04,-2.13
"848","Arkansas",2020,11,0.97,61.74,0.86,0.11,2.01,-1.03
"849","Colorado",2020,11,-0.48,44.17,-0.61,0.12,0.88,-1.37
"850","Gunnison",2020,11,-3.4,9.15,-3.28,-0.11,2.92,-6.33
"851","Rio Grande",2020,11,1.01,62.14,0.8,0.2,2.2,-1.18
"852","San Juan-Dolores",2020,11,-0.78,40.54,-0.74,-0.04,2.39,-3.18
"853","South Platte",2020,11,-0.57,43.06,0.01,-0.59,3.09,-3.67
"854","Yampa-White",2020,11,2.36,78.35,1.9,0.45,4.04,-1.67
"855","Arkansas",2020,12,0.79,59.57,0.97,-0.18,2.03,-1.23
"856","Colorado",2020,12,0.02,50.26,-0.48,0.5,1.47,-1.44
"857","Gunnison",2020,12,-3.42,8.84,-3.41,-0.01,2.52,-5.95
"858","Rio Grande",2020,12,1.11,63.4,1.01,0.1,2.01,-0.89
"859","San Juan-Dolores",2020,12,-0.8,40.28,-0.78,-0.02,2.33,-3.14
"860","South Platte",2020,12,-1.04,37.44,-0.57,-0.46,3.12,-4.16
"861","Yampa-White",2020,12,2.44,79.33,2.36,0.08,4.04,-1.59
"862","Arkansas",2021,1,-0.03,49.62,0.79,-0.82,1.73,-1.76
"863","Colorado",2021,1,-2.83,16.02,0.01,-2.84,-0.52,-2.3
"864","Gunnison",2021,1,-3.09,12.9,-3.43,0.34,-0.35,-2.73
"865","Rio Grande",2021,1,-0.87,39.53,1.11,-1.98,-0.17,-0.7
"866","San Juan-Dolores",2021,1,-2.71,17.44,-0.8,-1.9,-0.05,-2.65
"867","South Platte",2021,1,-1.72,29.3,-1.04,-0.67,1.44,-3.16
"868","Yampa-White",2021,1,-2.05,25.29,2.44,-4.5,-0.56,-1.49
"869","Arkansas",2021,2,-0.23,47.19,-0.03,-0.2,1.55,-1.79
"870","Colorado",2021,2,-3.26,10.87,-2.83,-0.42,-0.61,-2.64
"871","Gunnison",2021,2,-3.18,11.72,-3.09,-0.09,-0.51,-2.67
"872","Rio Grande",2021,2,-0.87,39.44,-0.87,0,-1.14,0.26
"873","San Juan-Dolores",2021,2,-2.81,16.26,-2.71,-0.09,-0.72,-2.09
"874","South Platte",2021,2,-2.29,22.41,-1.72,-0.57,1.29,-3.59
"875","Yampa-White",2021,2,-2.87,15.54,-2.05,-0.81,-0.53,-2.33
"876","Arkansas",2021,3,-1.97,26.3,-1.55,-0.41,-1.14,-0.83
"877","Colorado",2021,3,-2.7,17.49,-3.07,0.36,-1.76,-0.94
"878","Gunnison",2021,3,-2.99,14.09,-2.94,-0.04,-2.79,-0.19
"879","Rio Grande",2021,3,-1.32,34.06,-0.87,-0.44,-2.79,1.47
"880","San Juan-Dolores",2021,3,-3.16,12.04,-3.02,-0.14,-2.79,-0.36
"881","South Platte",2021,3,-1.45,32.54,-2.5,1.05,0.1,-1.55
"882","Yampa-White",2021,3,-1.6,30.73,-2.87,1.26,-0.93,-0.67
"883","Arkansas",2021,4,-1.41,33,-1.78,0.36,-1.14,-0.27
"884","Colorado",2021,4,-2.64,18.26,-2.78,0.13,-1.76,-0.88
"885","Gunnison",2021,4,-3.02,13.69,-2.99,-0.03,-2.79,-0.22
"886","Rio Grande",2021,4,-1.29,34.51,-1.32,0.03,-2.79,1.5
"887","San Juan-Dolores",2021,4,-3.2,11.53,-3.16,-0.04,-2.79,-0.4
"888","South Platte",2021,4,-0.59,42.89,-1.45,0.86,-0.1,-0.48
"889","Yampa-White",2021,4,-2,25.92,-1.6,-0.4,-0.93,-1.07
"890","Arkansas",2021,5,-1.78,28.57,-1.41,-0.36,-1.14,-0.64
"891","Colorado",2021,5,-3.18,11.78,-2.64,-0.54,-1.34,-1.83
"892","Gunnison",2021,5,-3.19,11.62,-3.02,-0.17,-2.59,-0.6
"893","Rio Grande",2021,5,-2.46,20.46,-1.42,-1.03,-2.97,0.51
"894","San Juan-Dolores",2021,5,-3.32,10.11,-3.2,-0.11,-2.79,-0.52
"895","South Platte",2021,5,-0.52,43.72,-0.62,0.1,-0.1,-0.41
"896","Yampa-White",2021,5,-2.1,24.73,-2,-0.09,-0.93,-1.17
"897","Arkansas",2021,6,-1.3,34.3,-1.63,0.32,-1.14,-0.16
"898","Colorado",2021,6,-3.54,7.48,-3.61,0.07,-1.76,-1.78
"899","Gunnison",2021,6,-3.99,2.06,-3.39,-0.59,-2.59,-1.4
"900","Rio Grande",2021,6,-2.63,18.43,-1.78,-0.84,-3.18,0.55
"901","San Juan-Dolores",2021,6,-3.42,8.87,-3.4,-0.02,-2.79,-0.62
"902","South Platte",2021,6,0.62,57.45,-0.19,0.81,0.31,0.31
"903","Yampa-White",2021,6,-3.63,6.41,-3.25,-0.37,-1.34,-2.28
"904","Arkansas",2021,7,-1.32,34.12,-1.3,-0.01,-1.14,-0.18
"905","Colorado",2021,7,-3.39,9.31,-3.54,0.15,-1.14,-2.25
"906","Gunnison",2021,7,-3.33,9.96,-3.99,0.65,-3,-0.33
"907","Rio Grande",2021,7,-1.46,32.45,-2.46,0.99,-2.38,0.92
"908","San Juan-Dolores",2021,7,-3.25,10.94,-3.42,0.17,-2.59,-0.66
"909","South Platte",2021,7,0.73,58.8,0.61,0.11,0.1,0.62
"910","Yampa-White",2021,7,-3.7,5.57,-3.63,-0.07,-0.93,-2.76
"911","Arkansas",2021,8,-1.39,33.28,-1.32,-0.07,-1.34,-0.04
"912","Colorado",2021,8,-3.57,7.13,-3.39,-0.18,-1.76,-1.8
"913","Gunnison",2021,8,-3.71,5.38,-3.33,-0.38,-2.79,-0.91
"914","Rio Grande",2021,8,-0.18,47.82,-1.46,1.28,-2.59,2.41
"915","San Juan-Dolores",2021,8,-3.13,12.34,-3.25,0.11,-2.79,-0.33
"916","South Platte",2021,8,0.43,55.24,0.73,-0.29,0.1,0.33
"917","Yampa-White",2021,8,-3.59,6.82,-3.7,0.1,-1.55,-2.04
"918","Arkansas",2021,10,-0.82,40.06,-1.17,0.35,-0.62,-0.2
"919","Colorado",2021,10,-3.37,9.48,-2.82,-0.55,-1.07,-2.29
"920","Gunnison",2021,10,-4.04,1.49,-3.67,-0.36,-2.93,-1.1
"921","Rio Grande",2021,10,0.82,59.95,-1.35,2.18,0.59,0.22
"922","San Juan-Dolores",2021,10,-2.76,16.76,-3.25,0.48,-2.61,-0.15
"923","South Platte",2021,10,0.38,54.61,0.79,-0.41,-0.76,1.15
"924","Yampa-White",2021,10,-1.3,34.36,-2.92,1.62,-0.19,-1.1
"925","Arkansas",2022,1,-1.28,34.58,-1.02,-0.25,-1.26,-0.01
"926","Colorado",2022,1,1.37,66.54,-3.06,4.44,-2.62,4
"927","Gunnison",2022,1,-0.35,45.78,-4.04,3.69,-2.83,2.47
"928","Rio Grande",2022,1,0.13,51.56,0.97,-0.84,-0.87,1
"929","San Juan-Dolores",2022,1,-0.81,40.25,-2.74,1.93,-2.84,2.03
"930","South Platte",2022,1,-0.35,45.79,-0.54,0.19,-2.06,1.71
"931","Yampa-White",2022,1,0.94,61.33,-1.32,2.27,-1.64,2.58
"932","Arkansas",2021,9,-1.17,35.84,-1.39,0.21,-1.76,0.58
"933","Colorado",2021,9,-2.82,16.1,-3.63,0.81,-2.38,-0.44
"934","Gunnison",2021,9,-3.67,5.92,-3.72,0.05,-2.79,-0.87
"935","Rio Grande",2021,9,-1.35,33.73,-0.18,-1.17,-2.79,1.44
"936","San Juan-Dolores",2021,9,-3.25,10.93,-3.13,-0.11,-2.79,-0.45
"937","South Platte",2021,9,0.79,59.55,0.56,0.23,-0.72,1.52
"938","Yampa-White",2021,9,-2.92,14.91,-3.6,0.67,-2.79,-0.12
"939","Arkansas",2021,11,-0.85,39.69,-0.82,-0.03,-0.42,-0.43
"940","Colorado",2021,11,-3.23,11.14,-3.37,0.13,-1.1,-2.12
"941","Gunnison",2021,11,-4.04,1.49,-4.04,0,-3,-1.04
"942","Rio Grande",2021,11,0.97,61.73,0.82,0.14,0.8,0.17
"943","San Juan-Dolores",2021,11,-2.75,16.97,-2.76,0.01,-2.68,-0.06
"944","South Platte",2021,11,-0.08,48.92,0.38,-0.47,-1.09,1
"945","Yampa-White",2021,11,-1.28,34.63,-1.3,0.02,0.25,-1.53
"946","Arkansas",2021,12,-1.02,37.66,-0.85,-0.16,-0.81,-0.21
"947","Colorado",2021,12,-3.06,13.26,-3.23,0.17,-0.96,-2.09
"948","Gunnison",2021,12,-4.04,1.49,-4.04,0,-3.22,-0.81
"949","Rio Grande",2021,12,0.97,61.65,0.97,0,0.7,0.26
"950","San Juan-Dolores",2021,12,-2.74,17.04,-2.75,0,-2.7,-0.03
"951","South Platte",2021,12,-0.54,43.48,-0.08,-0.45,-1.49,0.94
"952","Yampa-White",2021,12,-1.32,34.04,-1.28,-0.04,0.99,-2.32
"953","Arkansas",2022,2,-1.75,28.98,-1.28,-0.46,-1.55,-0.19
"954","Colorado",2022,2,-0.46,44.36,1.37,-1.84,-3.07,2.6
"955","Gunnison",2022,2,-1.89,27.3,-0.35,-1.54,-2.94,1.05
"956","Rio Grande",2022,2,-1.37,33.48,0.13,-1.5,-0.87,-0.49
"957","San Juan-Dolores",2022,2,-2.58,18.98,-0.81,-1.77,-3,0.42
"958","South Platte",2022,2,-0.02,49.72,-0.35,0.32,-2.4,2.38
"959","Yampa-White",2022,2,-0.04,49.5,0.94,-0.98,-2.87,2.83
"960","Arkansas",2022,3,-2.24,23.05,-1.75,-0.49,-1.78,-0.46
"961","Colorado",2022,3,-0.45,44.52,-0.46,0.01,-2.78,2.32
"962","Gunnison",2022,3,-1.93,26.73,-1.89,-0.04,-2.99,1.05
"963","Rio Grande",2022,3,-1.28,34.62,-1.37,0.09,-1.32,0.04
"964","San Juan-Dolores",2022,3,-2.65,18.12,-2.58,-0.07,-3.14,0.48
"965","South Platte",2022,3,-0.96,38.37,-0.02,-0.94,-1.45,0.48
"966","Yampa-White",2022,3,-0.94,38.68,-0.04,-0.9,-1.6,0.66
"967","Arkansas",2022,8,-2.06,25.21,-2.2,0.13,-1.39,-0.66
"968","Colorado",2022,8,-1.61,30.6,-2,0.38,-3.58,1.96
"969","Gunnison",2022,8,-3.65,6.16,-3.32,-0.32,-3.72,0.07
"970","Rio Grande",2022,8,0.19,52.37,-3.06,3.26,-0.2,0.4
"971","San Juan-Dolores",2022,8,-2.99,14.11,-3.29,0.3,-3.13,0.14
"972","South Platte",2022,8,0.19,52.34,-0.72,0.91,0.54,-0.35
"973","Yampa-White",2022,8,-0.49,44.01,-0.87,0.37,-3.83,3.33
"974","Arkansas",2022,4,-2.06,25.21,-2.19,0.13,-1.34,-0.71
"975","Colorado",2022,4,-1.3,34.37,-0.57,-0.72,-2.6,1.3
"976","Gunnison",2022,4,-1.95,26.59,-1.93,-0.01,-3.02,1.07
"977","Rio Grande",2022,4,-1.48,32.22,-1.28,-0.19,-1.29,-0.19
"978","San Juan-Dolores",2022,4,-2.65,18.11,-2.65,0,-3.18,0.53
"979","South Platte",2022,4,-0.67,41.84,-0.96,0.28,-0.63,-0.04
"980","Yampa-White",2022,4,-1.14,36.2,-0.94,-0.2,-2,0.85
"981","Arkansas",2022,5,-2,25.92,-2.11,0.11,-1.64,-0.36
"982","Colorado",2022,5,-1.5,31.96,-1.16,-0.33,-3.61,2.11
"983","Gunnison",2022,5,-3.06,13.21,-1.95,-1.11,-3.38,0.31
"984","Rio Grande",2022,5,-1.74,29,-1.48,-0.26,-1.75,0
"985","San Juan-Dolores",2022,5,-2.92,14.94,-2.65,-0.26,-3.51,0.59
"986","South Platte",2022,5,-0.77,40.75,-0.67,-0.09,-0.42,-0.34
"987","Yampa-White",2022,5,-0.6,42.7,-1.14,0.54,-3.28,2.67
"988","Arkansas",2022,6,-2.26,22.81,-2,-0.25,-0.93,-1.33
"989","Colorado",2022,6,-0.91,39.01,-1.5,0.58,-0.72,-0.18
"990","Gunnison",2022,6,-3.39,9.24,-3.06,-0.33,-2.86,-0.52
"991","Rio Grande",2022,6,-3.71,5.46,-1.74,-1.96,-2.23,-1.47
"992","San Juan-Dolores",2022,6,-3.36,9.62,-2.92,-0.44,-2.28,-1.07
"993","South Platte",2022,6,-0.15,48.14,-0.77,0.61,0.62,-0.77
"994","Yampa-White",2022,6,-0.62,42.51,-0.6,-0.01,-0.81,0.18
"995","Arkansas",2022,7,-2.2,23.56,-2.26,0.06,-1.34,-0.85
"996","Colorado",2022,7,-2,25.97,-0.91,-1.08,-3.38,1.38
"997","Gunnison",2022,7,-3.32,10.06,-3.39,0.06,-3.33,0.01
"998","Rio Grande",2022,7,-3.06,13.19,-3.71,0.64,-1.45,-1.61
"999","San Juan-Dolores",2022,7,-3.29,10.5,-3.36,0.07,-3.25,-0.03
"1000","South Platte",2022,7,-0.72,41.34,-0.12,-0.6,0.73,-1.45
